customer_hierarchy;product_line;month;month_no;actual_sales;budget;roll_forecast;seasonal_ytd_forecast;trend_3y_forecast;recommended_forecast;reconciled_forecast;top_down_target_month;reconciliation_factor;delta_vs_roll;delta_vs_budget;delta_reconciled_vs_roll;delta_reconciled_vs_budget;method;risk;active_history_months;ytd_growth_used
81202 - Schweiz;M151_10 Oszillierend;Oct 2026;10;0.0;297313.95;940831.14;309358.03;208516.79;449089.1;404889.48;18083332.61;0.90157939;-491742.04;151775.15;-535941.66;107575.53;segment_ensemble;normal;60;0.206983
81603 - USA ohne VU;M151_10 Oszillierend;Dec 2026;12;0.0;177359.77;121938.47;1079194.29;535702.72;532897.97;456136.01;14736597.28;0.85595374;410959.5;355538.2;334197.54;278776.24;segment_ensemble;volatile;60;0.6
81603 - USA ohne VU;M151_10 Oszillierend;Jun 2026;6;0.0;368258.55;748565.32;548245.36;423440.9;534607.98;485759.59;16404125.2;0.90862764;-213957.34;166349.43;-262805.73;117501.04;segment_ensemble;volatile;60;0.6
81303 - Irland;M162_12 Vollhartmetall;Jul 2026;7;0.0;279398.4;488579.53;129421.12;196119.34;266709.78;243340.77;16472643.23;0.91238039;-221869.76;-12688.62;-245238.76;-36057.63;segment_ensemble;normal;59;0.027126
81603 - USA ohne VU;M151_10 Oszillierend;Sep 2026;9;0.0;657599.11;393322.31;972749.2;387029.89;661247.06;601444.85;17613222.7;0.90956148;267924.75;3647.95;208122.54;-56154.26;segment_ensemble;volatile;60;0.6
81814 - Komet Medical USA;M144_10 Fixation Screws;Oct 2026;10;0.0;20800.27;288275.2;37911.18;27368.12;94643.0;85328.18;18083332.61;0.90157939;-193632.2;73842.73;-202947.02;64527.91;segment_ensemble;volatile;23;0.6
81603 - USA ohne VU;M151_10 Oszillierend;Jul 2026;7;0.0;145527.25;104395.87;450175.47;312534.28;266922.34;243534.71;16472643.23;0.91238039;162526.47;121395.08;139138.84;98007.46;segment_ensemble;volatile;60;0.6
81205 - Spanien;M203_10 Stahl;Dec 2026;12;0.0;0.0;190084.17;556719.68;258634.18;374890.74;320889.13;14736597.28;0.85595374;184806.58;374890.74;130804.96;320889.13;segment_ensemble;volatile;43;0.6
81303 - Irland;M161_12 Vollhartmetall;Aug 2026;8;0.0;227465.0;139496.37;447385.18;355418.68;301637.96;267247.01;13916935.45;0.88598601;162141.58;74172.96;127750.64;39782.01;segment_ensemble;normal;60;-0.040383
81603 - USA ohne VU;M151_11 Reziprok;Dec 2026;12;0.0;145714.29;0.0;17172.0;437806.2;144146.27;123382.54;14736597.28;0.85595374;144146.27;-1568.02;123382.54;-22331.75;segment_ensemble;volatile;30;-0.4
81603 - USA ohne VU;M151_10 Oszillierend;May 2026;5;16887.95;361854.41;163180.49;660812.8;290213.17;275495.46;285216.03;16175610.38;1.03528394;112314.97;-86358.95;122035.54;-76638.38;may_runrate_blend;volatile;60;0.6
81814 - Komet Medical USA;M191_10 Sonstige;Jul 2026;7;0.0;165486.46;107375.82;407255.25;241954.37;247048.06;225401.8;16472643.23;0.91238039;139672.24;81561.6;118025.98;59915.34;segment_ensemble;volatile;21;0.6
81603 - USA ohne VU;M151_10 Oszillierend;Aug 2026;8;0.0;429193.22;379465.8;831332.08;392580.56;552018.07;489080.29;13916935.45;0.88598601;172552.27;122824.84;109614.49;59887.07;segment_ensemble;volatile;60;0.6
81303 - Irland;M161_10 Diamant;Nov 2026;11;0.0;174774.1;301076.54;162071.7;237869.17;211368.13;191672.95;17937320.16;0.90682046;-89708.41;36594.03;-109403.59;16898.85;segment_ensemble;normal;60;0.075041
81202 - Schweiz;M151_10 Oszillierend;May 2026;5;118538.57;277221.65;270641.81;285628.66;274070.4;352674.68;365118.43;16175610.38;1.03528394;82032.87;75453.03;94476.62;87896.78;may_runrate_blend;normal;60;0.206983
81202 - Schweiz;M209_10 Sonstiges;Aug 2026;8;0.0;147186.63;211506.35;72574.32;124708.75;133780.57;118527.71;13916935.45;0.88598601;-77725.78;-13406.06;-92978.64;-28658.92;segment_ensemble;volatile;60;0.6
88418 - Indien;n/a;Oct 2026;10;0.0;229241.95;220473.74;9711.78;172127.95;141647.24;127706.23;18083332.61;0.90157939;-78826.5;-87594.71;-92767.51;-101535.72;segment_ensemble;normal;60;0.252539
81202 - Schweiz;M153_10 Oszillierend;Oct 2026;10;0.0;1935.37;116606.58;1991.57;2017.87;30635.22;27620.08;18083332.61;0.90157939;-85971.37;28699.85;-88986.5;25684.71;segment_ensemble;normal;60;0.060203
81202 - Schweiz;M201_10 Stahl;Jun 2026;6;0.0;177736.97;235171.21;119392.8;111395.73;161723.89;146946.8;16404125.2;0.90862764;-73447.33;-16013.09;-88224.41;-30790.17;segment_ensemble;volatile;60;0.6
