as_of_month;forecast_month;horizon_months;actual_sales;ai_forecast;roll_forecast;absolute_error;roll_absolute_error;bias
Jan 2026;Feb 2026;1;16617950.97;29651864.8;16617950.97;13033913.83;0.0;13033913.83
Jan 2026;Mar 2026;2;18605072.01;13201926.95;18605072.01;5403145.06;0.0;-5403145.06
Jan 2026;Apr 2026;3;17338304.55;12568330.97;17338304.55;4769973.58;0.0;-4769973.58
Feb 2026;Mar 2026;1;18605072.01;32761567.55;18605072.01;14156495.54;0.0;14156495.54
Feb 2026;Apr 2026;2;17338304.55;12953218.58;17338304.55;4385085.97;0.0;-4385085.97
Feb 2026;May 2026;3;4351555.33;13751884.94;15855983.33;9400329.61;11504428.0;9400329.61
Mar 2026;Apr 2026;1;17338304.55;30975432.7;17338304.55;13637128.15;0.0;13637128.15
Mar 2026;May 2026;2;4351555.33;14093758.67;15855983.33;9742203.34;11504428.0;9742203.34
Mar 2026;Jun 2026;3;0.0;14019538.44;17184577.29;14019538.44;17184577.29;14019538.44
Apr 2026;May 2026;1;4351555.33;15108994.63;15855983.33;10757439.3;11504428.0;10757439.3
Apr 2026;Jun 2026;2;0.0;14154345.02;17184577.29;14154345.02;17184577.29;14154345.02
Apr 2026;Jul 2026;3;0.0;14066865.41;16135856.07;14066865.41;16135856.07;14066865.41
