as_of_date;forecast_month;grain;customer;product;customer_hierarchy;product_line;month;month_no;actual_sales;open_backlog;backlog_conversion_probability;expected_backlog_revenue;budget;roll_forecast;statistical_demand_forecast;residual_demand_forecast;raw_ai_forecast;final_ai_forecast;forecast_low;forecast_high;confidence;risk_flag;explanation
2026-05-07;Jun 2026;HierarchyProductLine;81603 - USA ohne VU;M151_10 Oszillierend;81603 - USA ohne VU;M151_10 Oszillierend;Jun 2026;6;0.0;814143.95;0.9;732729.56;368258.55;748565.32;548245.36;0.0;565891.05;430672.51;387605.26;473739.77;medium;volatile;"volatile segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jul 2026;HierarchyProductLine;81303 - Irland;M162_12 Vollhartmetall;81303 - Irland;M162_12 Vollhartmetall;Jul 2026;7;0.0;640972.8;0.9;576875.52;279398.4;488579.53;250521.42;0.0;355798.33;270575.38;243517.84;297632.92;high;normal;"normal segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jul 2026;HierarchyProductLine;81202 - Schweiz;M201_10 Stahl;81202 - Schweiz;M201_10 Stahl;Jul 2026;7;0.0;59400.0;0.9;53460.0;165947.83;227702.85;153420.38;71613.67;125073.67;95115.28;85603.75;104626.8;medium;volatile;"volatile segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;81303 - Irland;M161_10 Diamant;81303 - Irland;M161_10 Diamant;Jun 2026;6;0.0;293319.34;0.9;263987.41;257424.7;329802.24;322177.55;6495.72;270483.13;205851.73;185266.55;226436.9;high;normal;"normal segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;81202 - Schweiz;M201_10 Stahl;81202 - Schweiz;M201_10 Stahl;Jun 2026;6;0.0;163280.0;0.9;146952.0;177736.97;235171.21;165890.43;7860.58;154812.58;117820.42;106038.38;129602.47;medium;volatile;"volatile segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jul 2026;HierarchyProductLine;81303 - Irland;M161_10 Diamant;81303 - Irland;M161_10 Diamant;Jul 2026;7;0.0;138081.1;0.9;124272.99;211964.27;273839.81;289606.55;90132.95;214405.94;163050.15;146745.13;179355.16;high;normal;"normal segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;83102 - Deutschland;M151_10 Oszillierend;83102 - Deutschland;M151_10 Oszillierend;Jun 2026;6;0.0;2733.48;0.9;2460.13;191860.24;202059.8;197539.77;125686.56;128146.7;97526.3;87773.67;107278.93;high;normal;"normal segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;81603 - USA ohne VU;M151_11 Reziprok;81603 - USA ohne VU;M151_11 Reziprok;May 2026;5;114375.0;0.0;0.0;0.0;0.0;46666.67;39980.14;61116.69;175491.69;150837.8;135754.02;165921.58;medium;volatile;"volatile segment; learned backlog probability 0%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jul 2026;HierarchyProductLine;81202 - Schweiz;M151_10 Oszillierend;81202 - Schweiz;M151_10 Oszillierend;Jul 2026;7;0.0;1182.0;0.9;1063.8;229530.14;251288.57;321588.5;193315.96;194379.76;147820.76;133038.68;162602.83;high;normal;"normal segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;81303 - Irland;M161_12 Vollhartmetall;81303 - Irland;M161_12 Vollhartmetall;Jun 2026;6;0.0;219116.12;0.9;197204.51;235895.7;251371.76;195208.32;0.0;194793.77;148248.19;133423.37;163073.01;high;normal;"normal segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;83102 - Deutschland;M209_10 Sonstiges;83102 - Deutschland;M209_10 Sonstiges;May 2026;5;2291.4;90151.2;0.1;9015.12;34038.65;117134.46;34357.64;15007.39;26313.91;22617.21;20355.49;24878.93;high;normal;"normal segment; learned backlog probability 10%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jul 2026;HierarchyProductLine;81202 - Schweiz;M209_10 Sonstiges;81202 - Schweiz;M209_10 Sonstiges;Jul 2026;7;0.0;27360.0;0.9;24624.0;128097.91;222440.8;366269.02;147031.18;171655.18;130539.3;117485.37;143593.23;medium;volatile;"volatile segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;83102 - Deutschland;M151_10 Oszillierend;83102 - Deutschland;M151_10 Oszillierend;May 2026;5;49432.45;5643.06;0.95;5360.91;191790.37;205506.22;195801.58;81863.23;136656.59;117458.44;105712.59;129204.28;high;normal;"normal segment; learned backlog probability 95%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jul 2026;HierarchyProductLine;83102 - Deutschland;M161_13 Stahl;83102 - Deutschland;M161_13 Stahl;Jul 2026;7;0.0;13460.0;0.9;12114.0;95131.15;122107.85;36956.94;33147.27;45261.27;34420.02;30978.02;37862.02;medium;volatile;"volatile segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;81303 - Irland;M162_12 Vollhartmetall;81303 - Irland;M162_12 Vollhartmetall;May 2026;5;0.0;0.0;0.0;0.0;230092.8;118948.52;318717.1;236878.81;236878.81;203600.97;183240.88;223961.07;high;normal;"normal segment; learned backlog probability 0%; blended backlog, residual demand, budget, and roll forecast."
