customer_hierarchy;product_line;month;month_no;actual_sales;open_backlog;backlog_conversion_probability;expected_backlog_revenue;budget;roll_forecast;statistical_demand_forecast;raw_ai_forecast;final_ai_forecast;forecast_low;forecast_high;confidence;risk_flag;explanation
81202 - Schweiz;M151_10 Oszillierend;Oct 2026;10;0.0;0.0;0.0;0.0;297313.95;940831.14;309358.03;432427.71;327667.37;294900.63;360434.11;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M151_10 Oszillierend;Jun 2026;6;0.0;814143.95;0.7;569900.77;368258.55;748565.32;548245.36;545641.92;431936.62;388742.96;475130.28;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M151_10 Oszillierend;Dec 2026;12;0.0;0.0;0.0;0.0;177359.77;121938.47;1079194.29;576230.49;406781.2;366103.08;447459.33;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81814 - Komet Medical USA;M144_10 Fixation Screws;Oct 2026;10;0.0;900.79;0.7;630.55;20800.27;288275.2;37911.18;60564.59;45892.16;41302.94;50481.37;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M162_12 Vollhartmetall;Jul 2026;7;0.0;640972.8;0.7;448680.96;279398.4;488579.53;250521.42;319734.47;252838.73;227554.86;278122.6;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M161_10 Diamant;Sep 2026;9;0.0;40386.0;0.7;28270.2;254680.0;268632.42;199405.65;163914.46;126849.63;114164.67;139534.6;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M203_10 Stahl;Aug 2026;8;0.0;288836.4;0.7;202185.48;347479.07;405922.45;525534.96;347841.26;266660.46;239994.42;293326.51;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M161_10 Diamant;Nov 2026;11;0.0;0.0;0.0;0.0;174774.1;301076.54;269515.13;217603.99;162862.65;146576.38;179148.91;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M151_10 Oszillierend;Nov 2026;11;0.0;256000.0;0.7;179200.0;458415.85;411211.36;540015.78;365526.09;273572.86;246215.57;300930.15;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M161_10 Diamant;Oct 2026;10;0.0;34560.0;0.7;24192.0;220624.2;292676.17;332902.08;208134.31;157711.5;141940.35;173482.65;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M203_10 Stahl;Oct 2026;10;0.0;233339.5;0.7;163337.65;332796.84;327879.44;293468.94;257148.92;194851.78;175366.6;214336.96;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M209_10 Sonstiges;Aug 2026;8;0.0;24960.0;0.7;17472.0;147186.63;211506.35;189807.29;105660.22;81000.75;72900.68;89100.83;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M151_11 Reziprok;May 2026;5;114375.0;0.0;0.0;0.0;0.0;46666.67;893.89;200130.15;174283.98;156855.58;191712.38;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M201_10 Stahl;Jul 2026;7;0.0;59400.0;0.7;41580.0;165947.83;227702.85;153420.38;127664.45;100954.14;90858.72;111049.55;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M161_10 Diamant;Jun 2026;6;0.0;293319.34;0.7;205323.54;257424.7;329802.24;322177.55;261036.59;206639.66;185975.7;227303.63;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81811 - Komet France;M151_10 Oszillierend;Oct 2026;10;0.0;33680.0;0.7;23576.0;236380.43;236001.89;200666.79;157948.6;119683.82;107715.44;131652.21;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M201_10 Stahl;Jun 2026;6;0.0;163280.0;0.7;114296.0;177736.97;235171.21;165890.43;150956.79;119499.19;107549.27;131449.11;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M201_10 Stahl;Oct 2026;10;0.0;55251.0;0.7;38675.7;128765.45;234172.25;252970.82;156596.25;118659.1;106793.19;130525.01;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M162_12 Vollhartmetall;Nov 2026;11;0.0;0.0;0.0;0.0;427315.2;336053.67;253215.24;298891.52;223701.15;201331.04;246071.27;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M151_10 Oszillierend;Dec 2026;12;0.0;0.0;0.0;0.0;243772.47;313881.82;291064.1;285598.42;201613.89;181452.5;221775.28;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M203_10 Stahl;Dec 2026;12;0.0;0.0;0.0;0.0;152446.21;210798.34;119367.8;141592.3;99954.94;89959.45;109950.44;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M161_10 Diamant;Jul 2026;7;0.0;138081.1;0.7;96656.77;211964.27;273839.81;289606.55;212847.84;168315.22;151483.7;185146.74;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M161_12 Vollhartmetall;Jun 2026;6;0.0;219116.12;0.7;153381.28;235895.7;251371.76;195208.32;186789.25;147864.59;133078.13;162651.05;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
88418 - Indien;n/a;Oct 2026;10;0.0;0.0;0.0;0.0;229241.95;220473.74;268218.79;157311.6;119201.15;107281.03;131121.26;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
